,time_sent,user_id,id,is_positive,feedback_text,extracted_query,labels
0,2024-01-29,0d862dd4-3739-489f-bc39-2d24ef442b76,2,,,Tell me about DSEM,TEAMS
1,2024-01-29,0d862dd4-3739-489f-bc39-2d24ef442b76,5,,,Who is the CEO of IDinsight?,TEAMS
2,2024-01-30,0d862dd4-3739-489f-bc39-2d24ef442b76,8,,,Give me an example structure of a past IDinsight proposal,PROJECTS
3,2024-01-30,0d862dd4-3739-489f-bc39-2d24ef442b76,13,,,Give me examples of a data science proposal strucutre,RESOURCES
4,2024-01-30,0d862dd4-3739-489f-bc39-2d24ef442b76,20,,,Who is Zia?,TEAMS
5,2024-01-30,0d862dd4-3739-489f-bc39-2d24ef442b76,23,,,Who is alison?,TEAMS
6,2024-01-30,0d862dd4-3739-489f-bc39-2d24ef442b76,26,,,Who is alison,MISCELLANEOUS
7,2024-01-30,0d862dd4-3739-489f-bc39-2d24ef442b76,29,,,Example africa project,MISCELLANEOUS
8,2024-01-30,0d862dd4-3739-489f-bc39-2d24ef442b76,32,,,"From Slack, share unit 4 link",POLICIES
9,2024-01-30,0d862dd4-3739-489f-bc39-2d24ef442b76,35,,,GIve me unit4 link,RESOURCES
10,2024-01-31,0d862dd4-3739-489f-bc39-2d24ef442b76,38,,,Tell me about alisons 10 year anniversary,TEAMS
11,2024-01-31,0d862dd4-3739-489f-bc39-2d24ef442b76,40,,,Alison 10 year,TEAMS
